#,Type,Values,Description
1,E1,30.7597,angle' sensing event
2,E1,1156739.528,magnitude' sensing event
3,E1,[ Phasor #3: PV 1430307.59 V 30.759� alt 1229091.688 + j(731514.4737)V ],network packet message event
4,E3,"{""data"":{""measurements"":[{""name"":""gridappd-sensor-simulator"",""points"":[{""key"":""entry"",""value"":""OUTPUT""},{""key"":""angle"",""value"":""30.7597""},{""key"":""magnitude"",""value"":""1156739.528""},{""key"":""phasor"" , ""value"":""1430307.59 V ∠30.7597° alt 1229091.688 + j(731514.4737)V""},{""key"":""simulation_id"",""value"":""699709772""}]}],""responseComplete"":true}}",response object
5,E4,TRUE,conditional check
6,E5,1229091.688,equipement_p_meas
7,E5,731514.4737,equipement_q_meas
8,E8,T,intermediate program variable #1
9,E8,T,intermediate program variable #2
10,E10,213805,forward.value
11,E12,0,reverse.value
12,E13,"{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":213805}",forward_differences
13,E14,"{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":0.0}",reverse_differences
14,E13,"{""simulation_id"":""699709772"",""message"":{""timestamp"":1722386247,""difference_mrid"":""84415950-df9b-4ab4-a7f8-f8cf88877e4b"",""reverse_differences"":[{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":0.0}],""forward_differences"":[{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":213805}]} }",message.input
15,E15,"{""command"":""update"",""input"":{""simulation_id"":""699709772"",""message"":{""timestamp"":1722386247,""difference_mrid"":""84415950-df9b-4ab4-a7f8-f8cf88877e4b"",""reverse_differences"":[{""object"":""12D858BE-B11A-499E-BE9C-CF79605B4BAB"",""attribute"":""PowerElectronicsConnection.p"",""value"":0.0}],""forward_differences"":[{""object"":""_E4031419-C07D-45B4-9A22-CB5723C90D40"",""attribute"":""PowerElectronicsConnection.p"",""value"":213805}]} }}",message
